Strike,BidVolP,AskVolP,BidVolC,AskVolC,Symbol,LocalTime
2.45,,,0.5710030158941687,0.6154244370775681,10000498,2016-Feb-16 09:32:03.441820
2.55,,,0.6591713582553164,0.7089100767227042,10000500,2016-Feb-16 09:32:03.441923
2.35,,,0.49907432385865863,0.5301743195432498,10000508,2016-Feb-16 09:32:03.441992
2.25,,,0.431685700876282,0.44930063761061184,10000512,2016-Feb-16 09:32:12.461959
2.15,NaN,0.5366353686348413,,,10000522,2016-Feb-16 09:32:18.074209
2.4,NaN,1.1468800876622152,,,10000502,2016-Feb-16 09:32:28.027734
2.5,0.766402681118628,2.0402525704329952,,,10000504,2016-Feb-16 09:32:28.027804
2.55,NaN,NaN,,,10000505,2016-Feb-16 09:32:28.027822
2.6,NaN,2.2132513426201,,,10000506,2016-Feb-16 09:32:28.027871
2.3,NaN,1.726229901793648,,,10000509,2016-Feb-16 09:32:28.027889
2.25,NaN,1.6195212130452046,,,10000514,2016-Feb-16 09:32:41.531854
2.3,,,0.4637396092309941,0.49825299787352473,10000507,2016-Feb-16 09:32:45.102663
2.45,NaN,2.026266588621001,,,10000503,2016-Feb-16 09:32:46.624557
2.4,,,0.5249414524447229,0.566521440020735,10000497,2016-Feb-16 09:32:47.103662
2.15,,,0.3945887444053933,0.4071956951141896,10000520,2016-Feb-16 09:32:51.595204
2.0,,,0.36863078154765616,0.38755524285365045,10000533,2016-Feb-16 09:32:52.081043
2.5,,,0.6157141533777636,0.6628509110975604,10000499,2016-Feb-16 09:32:53.110694
1.9,0.33761839128494675,0.35173348570337076,,,10000550,2016-Feb-16 09:32:54.019361
